IP do cliente solicitante: 192.168.1.2 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 18:12:37 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved 	 Data e Hora: 23 10 2014 18:12:46 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: BAD 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:13:07 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: BAD 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:13:07 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: BAD 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:13:07 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:13:56 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:13:56 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:13:59 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:13:59 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:13:59 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 18:14:16 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 18:14:16 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:14:16 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:14:16 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 18:14:36 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 18:14:36 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:14:36 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:14:49 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 18:14:51 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: actio 	 Data e Hora: 23 10 2014 18:15:03 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:15:03 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:15:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:15:19 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:15:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: curriculo.html 	 Data e Hora: 23 10 2014 18:50:08 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:50:09 GMT 
