max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564975
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564979
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564983
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564987
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564991
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564995
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564999
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565003
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565007
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565011
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565015
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565019
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565023
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565027
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565031
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565035
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565039
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565043
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565047
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565051
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565055
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565059
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565063
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565067
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565071
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565075
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565079
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565083
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565087
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565091
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565095
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565099
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565103
